geo_cep;geo_uf;geo_cidade;geo_bairro
60000000;CE;PINDORETAMA;CENTRO
61940000;CE;MARANGUAPE;CENTRO
60811020;CE;FORTALEZA;ENG. LUCIANO CAVALCANTE
83005370;PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS
60140170;CE;FORTALEZA;CENTRO
01132000;SP;SÃO PAULO;BOM RETIRO
61900000;CE;MARACANAU;CAGADO
60870810;CE;FORTALEZA;MESSEJANA
95180000;RS;FARROUPILHA;NOVA SARDENHA
60873815;CE;FORTALEZA;PAUPINA
62785000;CE;ACARAPE;CENTRO
60055402;CE;FORTALEZA;FATIMA
08770490;SP;MOGI DAS CRUZES;TABOAO
61700000;CE;AQUIRAZ;CAMARA
86072450;PR;LONDRINA;JARDIM Mª LUCIA
60860540;CE;FORTALEZA;DIAS MACEDO
60135100;CE;FORTALEZA;JOAQUIM TAVORA
62540000;CE;AMONTADA;CENTRO
60330878;CE;FORTALEZA;BARRA DO CEARÁ
60000000;CE;TEJUCUOCA;CENTRO
60416540;CE;FORTALEZA;MONTESE
60060170;CE;FORTALEZA;CENTRO
60150161;CE;FORTALEZA;MANOEL DIAS BRANCO
60170311;CE;FORTALEZA;DIONISIO TORRES
61760000;CE;EUSEBIO;COITE
60541490;CE;FORTALEZA;GRANJA PORTUGAL
62680000;CE;PARACURU;SITIO DOS COQUEIRAIS
60000000;CE;FORTALEZA;B-FATIMA
60873040;CE;FORTALEZA;PQUE. SANTA MARIA
61760000;CE;EUSÉBIO;EUSÉBIO
32677494;MG;BETIM;IMBIRUCU
60356200;CE;FORTALEZA;CACHOEIRINHA
60165011;CE;FORTALEZA;PRAIA DE IRACEMA
04224010;SP;SÃO PAULO;IPIRANGA
60330530;CE;FORTALEZA;ALVARO WEYNE
60160250;CE;FORTALEZA;MEIRELES
93233100;RS;SAPUCAIA DO SUL;PASSO DA SAPUCAIA
62842000;CE;BEBERIBE;ZONA RURAL
60822142;CE;FORTALEZA;EDSON QUEIROZ
